id;SEXEQ;FAMIQ;RELAT;AGER;OPGNBL;MOYRVL;TAVEPL;ENDETL;GAGETL;KVUNB;QSMOY;QCREDL;CARVP
5015151;Shom;Fseu;35;60;0;0;10.48776808;0;0;1;735;0;Cnon
459614;Shom;Fseu;107;27;0.693147181;1.386294361;0;0;0;1;1466;1.386294361;Cnon
1256165;Sfem;Fseu;111;32;0;2.772588722;11.05986548;2.995732274;12.06106421;2;3961;2.63905733;Cnon
1248238;Shom;Fcou;115;42;0;3.295836866;10.66515749;2.708050201;11.7723238;1;878;1.386294361;Cnon
1340327;Sfem;Fseu;307;57;1.098612289;2.48490665;8.065893547;0;0;1;2838;2.48490665;Cnon
2941573;Sfem;Fcou;199;47;0;3.044522438;4.663439094;2.302585093;11.78967803;2;-174;3.091042453;Cnon
5065589;Sfem;Fseu;16;43;0.693147181;0;0;0;0;1;-79;0;Cnon
5093515;Sfem;Fseu;5;19;0;2.079441542;8.294299609;0;0;1;5996;1.945910149;Cnon
1481943;Sfem;Fcou;73;30;0.693147181;3.044522438;0;0;0;1;6592;3.044522438;Cnon
243476;Shom;Fcou;252;47;0.693147181;3.135494216;0;0;0;1;15929;3.135494216;Cnon
405131;Shom;Fcou;117;56;0;3.044522438;11.30448578;0;0;1;14164;2.944438979;Cnon
5051381;Shom;Fseu;22;42;0.693147181;2.302585093;0;0;7.853993087;1;704;2.197224577;Cnon
1145354;Sfem;Fcou;207;58;0;1.386294361;9.834780355;0;0;0;0;0;Cnon
3462789;Sfem;Fcou;67;29;0.693147181;2.48490665;11.7146002;0;0;1;20118;2.302585093;Cnon
7572458;Sfem;Fcou;27;43;0;0;9.276689753;0;0;0;0;0;Cnon
3460626;Shom;Fcou;142;49;0;3.465735903;10.69228576;2.197224577;12.13379761;1;7923;3.433987204;Cnon
1163226;Shom;Fcou;196;42;1.609437912;3.465735903;0;0;0;1;8747;3.465735903;Cnon
3740915;Shom;Fcou;315;49;1.386294361;2.944438979;9.407304206;2.890371758;11.89891549;1;14035;2.944438979;Cnon
1846958;Shom;Fcou;56;34;0;2.48490665;0;3.36729583;12.12586534;1;2481;2.48490665;Cnon
5058529;Sfem;Fseu;19;19;0;0;0;0;0;0;0;0;Cnon
7522067;Sfem;Fcou;41;22;0;2.197224577;0;3.401197382;9.55137362;1;-3673;2.197224577;Cnon
3145867;Shom;Fseu;131;38;0;2.197224577;0;1.945910149;10.66405971;1;3227;2.197224577;Cnon
5037587;Sfem;Fseu;27;29;0;0;0;0;0;0;0;0;Cnon
257102;Sfem;Fcou;211;51;0;1.098612289;10.02278056;0;0;0;0;0;Cnon
7580358;Sfem;Fcou;192;27;1.098612289;2.197224577;10.11224816;0;0;1;1622;2.197224577;Cnon
2847818;Sfem;Fseu;130;51;0;3.33220451;9.486455808;0;0;1;3368;3.33220451;Cnon
7501007;Shom;Fcou;3;50;1.098612289;1.098612289;0;0;0;1;3671;1.098612289;Cnon
1146085;Sfem;Fseu;227;64;0;2.079441542;12.51360881;0;0;1;4672;2.079441542;Cnon
442434;Shom;Fcou;282;62;1.791759469;2.079441542;0;0;0;1;16210;2.079441542;Cnon
1954176;Sfem;Fseu;47;35;0.693147181;0.693147181;0;0;0;1;1644;0.693147181;Cnon
1452372;Shom;Fcou;110;53;0.693147181;2.48490665;0;0;0;1;8038;2.48490665;Cnon
5089277;Sfem;Fseu;7;21;0.693147181;1.609437912;0;0;0;1;2112;1.609437912;Cnon
3253668;Shom;Fcou;115;36;0;1.386294361;0;0;0;1;1188;1.386294361;Cnon
